,W_ac,,
1029,6.591907205,,
1030,7.292468187,,
1031,4.158956614,,
1032,0,,
1033,0,,
1034,0,,
1035,0,,
1036,0,,
1037,0,,
1038,0,,
1039,0,,
1040,0,,
1041,0,,
1042,0,,
1043,0,,
1044,0,,
1045,0,,
1046,0,,
1047,0,,
1048,0,,
1049,0,,
1050,0,,
1051,0,,
1052,0,,
1053,0,,
1054,0,,
1055,0,,
1056,0,,
1057,0,,
1058,0,,
1059,0,,
1060,0,,
1061,0,,
1062,0,,
1063,0,,
1064,0,,
1065,0,,
1066,0,,
1067,0,,
1068,0,,
1069,0,,
1070,0,,
1071,0,,
1072,0,,
1073,0,,
1074,0,,
1075,0,,
1076,0,,
1077,0,,
1078,0,,
1079,0,,
1080,0,,
1081,5.852539407,,
1082,17.66135661,,
1083,36.91989318,,
1084,65.51631878,,
1085,104.6151199,,
1086,151.5512908,,
1087,202.3978668,,
1088,253.2271084,,
1089,300.6077397,,
1090,343.7383494,,
1091,382.6850346,,
1092,417.5144308,,
1093,448.4341776,,
1094,476.39962,,
1095,502.6129952,,
1096,528.2766952,,
1097,554.1100646,,
1098,578.2683111,,
1099,598.0591133,,
1100,610.7896134,,
1101,614.4563401,,
1102,610.7190813,,
1103,602.4496657,,
1104,592.5206971,,
1105,583.2631893,,
1106,574.127254,,
1107,563.6088577,,
1108,550.2033509,,
1109,532.64479,,
1110,510.9383164,,
1111,485.5104737,,
1112,456.7880805,,
1113,424.7367676,,
1114,386.8638271,,
1115,339.8607203,,
1116,280.4183706,,
1117,207.1119913,,
1118,128.5713991,,
1119,56.7665113,,
1120,3.669467137,,
1121,0,,
1122,0,,
1123,0,,
1124,0,,
1125,5.750342471,,
1126,6.403099183,,
1127,3.673650514,,
1128,0,,
1129,0,,
1130,0,,
1131,0,,
1132,0,,
1133,0,,
1134,0,,
1135,0,,
1136,0,,
1137,0,,
1138,0,,
1139,0,,
1140,0,,
1141,0,,
1142,0,,
1143,0,,
1144,0,,
1145,0,,
1146,0,,
1147,0,,
1148,0,,
1149,0,,
1150,0,,
1151,0,,
1152,0,,
1153,0,,
1154,0,,
1155,0,,
1156,0,,
1157,0,,
1158,0,,
1159,0,,
1160,0,,
1161,0,,
1162,0,,
1163,0,,
1164,0,,
1165,0,,
1166,0,,
1167,0,,
1168,0,,
1169,0,,
1170,0,,
1171,0,,
1172,0,,
1173,0,,
1174,0,,
1175,0,,
1176,0,,
1177,4.687098958,,
1178,15.09784695,,
1179,33.51742517,,
1180,62.5682295,,
1181,103.9966978,,
1182,154.7963563,,
1183,210.3562886,,
1184,266.0643349,,
1185,317.8575172,,
1186,364.655814,,
1187,406.3871708,,
1188,442.9803219,,
1189,474.5202823,,
1190,501.9418168,,
1191,526.4671157,,
1192,549.3185963,,
1193,571.3556997,,
1194,591.4621845,,
1195,607.8528703,,
1196,618.7420434,,
1197,622.8862342,,
1198,621.9965018,,
1199,618.7852709,,
1200,615.9657713,,
1201,615.36864,,
1202,614.0104902,,
1203,607.2747047,,
1204,590.5433407,,
1205,560.6270227,,
1206,522.1365233,,
1207,482.3315846,,
1208,448.474118,,
1209,425.5483474,,
1210,406.0890272,,
1211,378.3987752,,
1212,330.7767115,,
1213,255.1517724,,
1214,163.3136492,,
1215,73.81036183,,
1216,5.195566425,,
1217,0,,
1218,0,,
1219,0,,
1220,0,,
1221,7.440037694,,
1222,8.339270069,,
1223,4.813025434,,
1224,0,,
1225,0,,
1226,0,,
1227,0,,
1228,0,,
1229,0,,
1230,0,,
1231,0,,
1232,0,,
1233,0,,
1234,0,,
1235,0,,
1236,0,,
1237,0,,
1238,0,,
1239,0,,
1240,0,,
1241,0,,
1242,0,,
1243,0,,
1244,0,,
1245,0,,
1246,0,,
1247,0,,
1248,0,,
1249,0,,
1250,0,,
1251,0,,
1252,0,,
1253,0,,
1254,0,,
1255,0,,
1256,0,,
1257,0,,
1258,0,,
1259,0,,
1260,0,,
1261,0,,
1262,0,,
1263,0,,
1264,0,,
1265,0,,
1266,0,,
1267,0,,
1268,0,,
1269,0,,
1270,0,,
1271,0,,
1272,0,,
1273,0,,
1274,0,,
1275,4.572927272,,
1276,18.19434522,,
1277,42.51389258,,
1278,75.75053365,,
1279,114.6531065,,
1280,155.9690389,,
1281,196.8799232,,
1282,236.9855996,,
1283,276.722907,,
1284,316.5294941,,
1285,356.741807,,
1286,397.1320107,,
1287,437.2767677,,
1288,476.7525498,,
1289,514.9402466,,
1290,550.1290898,,
1291,580.2297133,,
1292,603.1523785,,
1293,617.2829956,,
1294,623.6651344,,
1295,624.2649879,,
1296,621.0496644,,
1297,615.6790774,,
1298,608.0949052,,
1299,597.6417346,,
1300,583.6635548,,
1301,565.7313166,,
1302,544.6867691,,
1303,521.8137084,,
1304,498.3963763,,
1305,474.7556476,,
1306,445.8126608,,
1307,404.6083839,,
1308,344.1818718,,
1309,260.3664559,,
1310,164.6740157,,
1311,74.08109988,,
1312,5.569863594,,
1313,0,,
1314,0,,
1315,0,,
1316,0,,
1317,7.332553726,,
1318,8.27348469,,
1319,4.803371348,,
1320,0,,
1321,0,,
1322,0,,
1323,0,,
1324,0,,
1325,0,,
1326,0,,
1327,0,,
1328,0,,
1329,0,,
1330,0,,
1331,0,,
1332,0,,
1333,0,,
1334,0,,
1335,0,,
1336,0,,
1337,0,,
1338,0,,
1339,0,,
1340,0,,
1341,0,,
1342,0,,
1343,0,,
1344,0,,
1345,0,,
1346,0,,
1347,0,,
1348,0,,
1349,0,,
1350,0,,
1351,0,,
1352,0,,
1353,0,,
1354,0,,
1355,0,,
1356,0,,
1357,0,,
1358,0,,
1359,0,,
1360,0,,
1361,0,,
1362,0,,
1363,0,,
1364,0,,
1365,0,,
1366,0,,
1367,0,,
1368,0,,
1369,4.335264704,,
1370,13.12935677,,
1371,27.24794037,,
1372,47.93899404,,
1373,75.73052831,,
1374,107.042349,,
1375,136.8393607,,
1376,160.0847697,,
1377,173.6317295,,
1378,185.1289595,,
1379,206.0521846,,
1380,247.8816317,,
1381,317.8576916,,
1382,398.9768885,,
1383,465.6327927,,
1384,492.2087733,,
1385,459.6032106,,
1386,386.0072837,,
1387,302.8587213,,
1388,241.611082,,
1389,226.9078599,,
1390,244.3697722,,
1391,265.7426977,,
1392,262.7558043,,
1393,214.4140988,,
1394,141.4582371,,
1395,79.48306181,,
1396,64.10144455,,
1397,121.7202112,,
1398,225.8828597,,
1399,331.2995165,,
1400,392.657272,,
1401,373.8682362,,
1402,291.8726079,,
1403,182.5214492,,
1404,81.68913203,,
1405,19.63119267,,
1406,0,,
1407,0,,
1408,0,,
1409,3.877522358,,
1410,4.403225358,,
1411,2.570843284,,
1412,0,,
1413,0,,
1414,0,,
1415,0,,
1416,0,,
1417,0,,
1418,0,,
1419,0,,
1420,0,,
1421,0,,
1422,0,,
1423,0,,
1424,0,,
1425,0,,
1426,0,,
1427,0,,
1428,0,,
1429,0,,
1430,0,,
1431,0,,
1432,0,,
1433,0,,
1434,0,,
1435,0,,
1436,0,,
1437,0,,
1438,0,,
1439,0,,
1440,0,,
1441,0,,
1442,0,,
1443,0,,
1444,0,,
1445,0,,
1446,0,,
1447,0,,
1448,0,,
1449,0,,
1450,0,,
1451,0,,
1452,0,,
1453,0,,
1454,0,,
1455,0,,
1456,0,,
1457,0,,
1458,0,,
1459,0,,
1460,0,,
1461,0,,
1462,0,,
1463,0,,
1464,0,,
1465,2.570909675,,
1466,10.5618851,,
1467,28.00173437,,
1468,59.12696332,,
1469,106.5169505,,
1470,163.0531556,,
1471,218.0996922,,
1472,261.015749,,
