PVWatts: Hourly PV Performance Data,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,
DC System Size (kW):,10,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.118,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,
,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,
1,8,17,0,0,13,2.1,0,13,0,0,,
1,8,18,0,0,13,2.1,0,13,0,0,,
1,8,19,0,0,12,2.1,0,12,0,0,,
1,8,20,0,0,12,2.1,0,12,0,0,,
1,8,21,0,0,11,2.1,0,11,0,0,,
1,8,22,0,0,11,1.8,0,11,0,0,,
1,8,23,0,0,10,1.5,0,10,0,0,,
1,9,0,0,0,10.5,2.8,0,10.5,0,0,,
1,9,1,0,0,11,4.1,0,11,0,0,,
1,9,2,0,0,10,3.6,0,10,0,0,,
1,9,3,0,0,10.1,3.4,0,10.1,0,0,,
1,9,4,0,0,10,3.1,0,10,0,0,,
1,9,5,0,0,11,2.6,0,11,0,0,,
1,9,6,0,0,11,2.9,0,11,0,0,,
1,9,7,278,14,9,3.1,96.032,9.537,734.255,669.028,,
1,9,8,618,51,12,2.1,344.554,19.692,2849.698,2732.331,,
1,9,9,721,78,14,2.6,547.121,26.93,4563.418,4391.613,,
1,9,10,777,96,16,2.1,695.064,34.146,5670.411,5457.635,,
1,9,11,777,128,16,2.6,786.571,35.592,6396.188,6154.077,,
1,9,12,642,172,16,6.2,729.229,28.426,6143.534,5911.858,,
1,9,13,777,122,16,4.6,736.849,30.966,6111.646,5881.271,,
1,9,14,660,121,16,2.1,569.393,31.539,4664.984,4489.609,,
1,9,15,586,105,16,2.1,404.021,26.766,3287.626,3157.386,,
1,9,16,0,0,14,1.5,0,14,0,0,,
1,9,17,0,0,12,2.1,0,12,0,0,,
1,9,18,0,0,11,2.6,0,11,0,0,,
1,9,19,0,0,11,2.6,0,11,0,0,,
1,9,20,0,0,11,2.6,0,11,0,0,,
1,9,21,0,0,10,2.6,0,10,0,0,,
1,9,22,0,0,8,2.6,0,8,0,0,,
1,9,23,0,0,9,2.6,0,9,0,0,,
1,10,0,0,0,8,2.4,0,8,0,0,,
1,10,1,0,0,8,2.3,0,8,0,0,,
1,10,2,0,0,6,2.1,0,6,0,0,,
1,10,3,0,0,6,2,0,6,0,0,,
1,10,4,0,0,5.9,1.8,0,5.9,0,0,,
1,10,5,0,0,6,1.7,0,6,0,0,,
1,10,6,0,0,6,1.5,0,6,0,0,,
1,10,7,264,15,8,2.6,93.631,8.48,722.882,657.891,,
1,10,8,490,66,14.6,3.9,306.328,20.087,2546.601,2437.726,,
1,10,9,618,103,21,5.1,512.494,30.153,4216.854,4056.938,,
1,10,10,735,104,23,9.8,677.142,31.415,5599.841,5389.813,,
1,10,11,807,104,24,9.8,780.215,33.891,6397,6154.856,,
1,10,12,739,142,24,9.3,776.052,34.26,6354.41,6114.041,,
1,10,13,820,98,26,6.7,739.692,38.104,5922.083,5699.357,,
1,10,14,710,106,22,5.1,586.546,33.264,4762.921,4584.068,,
1,10,15,598,98,22,2.6,402.429,31.981,3191.553,3064.198,,
1,10,16,0,0,18,3.1,0,18,0,0,,
1,10,17,0,0,13,1.5,0,13,0,0,,
1,10,18,0,0,13,2.1,0,13,0,0,,
1,10,19,0,0,11,2.6,0,11,0,0,,
1,10,20,0,0,12,2.6,0,12,0,0,,
1,10,21,0,0,11,2.6,0,11,0,0,,
1,10,22,0,0,13,7.7,0,13,0,0,,
1,10,23,0,0,14,5.6,0,14,0,0,,
1,11,0,0,0,14,3.6,0,14,0,0,,
1,11,1,0,0,10,2.1,0,10,0,0,,
1,11,2,0,0,8,2.1,0,8,0,0,,
1,11,3,0,0,13,2.6,0,13,0,0,,
1,11,4,0,0,18,7.7,0,18,0,0,,
1,11,5,0,0,12,3.6,0,12,0,0,,
1,11,6,0,0,16,5.1,0,16,0,0,,
1,11,7,283,15,16,4.1,98.262,16.645,728.32,663.217,,
1,11,8,581,55,20,5.7,334.375,25.046,2702.946,2589.733,,
1,11,9,744,72,21.9,5.4,552.509,31.549,4505.764,4335.967,,
1,11,10,818,84,23,5.1,712.783,36.391,5750.269,5534.361,,
1,11,11,819,102,23.5,4.7,788.618,39.311,6294.261,6056.388,,
1,11,12,848,104,23.6,4.4,818.083,40.747,6483.399,6237.632,,
1,11,13,814,98,23,4.1,736.886,38.945,5875.605,5654.734,,
1,11,14,761,97,23,2.6,610.58,38.347,4833.582,4652.197,,
1,11,15,582,98,22,2.6,396.481,31.902,3148.905,3022.82,,
1,11,16,0,0,17,2.6,0,17,0,0,,
1,11,17,0,0,15,1.5,0,15,0,0,,
1,11,18,0,0,13,3.1,0,13,0,0,,
1,11,19,0,0,12,2.1,0,12,0,0,,
1,11,20,0,0,9,2.6,0,9,0,0,,
1,11,21,0,0,10,1.5,0,10,0,0,,
1,11,22,0,0,8,1.5,0,8,0,0,,
1,11,23,0,0,9,3.1,0,9,0,0,,
1,12,0,0,0,9,2.1,0,9,0,0,,
1,12,1,0,0,10,2.1,0,10,0,0,,
1,12,2,0,0,8,2.1,0,8,0,0,,
1,12,3,0,0,7,3.1,0,7,0,0,,
1,12,4,0,0,6,1.5,0,6,0,0,,
1,12,5,0,0,8,2.1,0,8,0,0,,
1,12,6,0,0,8,2.1,0,8,0,0,,
1,12,7,283,15,8,2.1,98.061,8.618,752.72,687.11,,
1,12,8,544,60,12,1.9,323.564,19.346,2691.099,2578.218,,
1,12,9,670,91,16,1.7,531.503,30.113,4370.776,4205.634,,
1,12,10,747,107,19,1.5,690.707,38.607,5513.694,5306.995,,
1,12,11,836,101,21,2.6,802.253,40.788,6355.7,6115.278,,
1,12,12,720,148,20,2.6,769.92,39.345,6147.851,5915.998,,
1,12,13,739,120,21,3.1,710.787,37.865,5701.251,5487.269,,
1,12,14,671,116,18,3.1,575.803,31.717,4716.163,4538.975,,
1,12,15,436,114,17,2.6,346.637,25.615,2857.239,2739.656,,
1,12,16,0,0,17,2.6,0,17,0,0,,
1,12,17,0,0,13,2.6,0,13,0,0,,
1,12,18,0,0,12,2.6,0,12,0,0,,
1,12,19,0,0,10,2.6,0,10,0,0,,
1,12,20,0,0,9,2.9,0,9,0,0,,
1,12,21,0,0,8,3.1,0,8,0,0,,
1,12,22,0,0,8,3.1,0,8,0,0,,
1,12,23,0,0,6,2.6,0,6,0,0,,
1,13,0,0,0,6,2.1,0,6,0,0,,
1,13,1,0,0,6,2.1,0,6,0,0,,
1,13,2,0,0,4,2.1,0,4,0,0,,
1,13,3,0,0,4.1,2.1,0,4.1,0,0,,
1,13,4,0,0,4,2.1,0,4,0,0,,
1,13,5,0,0,4,2.1,0,4,0,0,,
1,13,6,0,0,3,2.6,0,3,0,0,,
1,13,7,266,15,6,2.1,93.57,6.469,727.048,661.971,,
1,13,8,597,54,11,2.1,340.225,18.571,2832.274,2715.404,,
1,13,9,756,71,14,2.1,559.413,28.101,4638.561,4464.118,,
